code,high,low,open,close,avg,vol,amount,time
300,4075.293,4047.876,4045.209,4071.259,4063.509933,35456440,42689530151,2018-1-2 10:00
300,4077.278,4058.578,4071.259,4076.861,4066.477733,22339693,27642073362,2018-1-2 10:30
300,4082.69,4072.709,4076.861,4077.442,4077.488467,16573216,19967743181,2018-1-2 11:00
300,4084.431,4074.782,4077.442,4080.417,4080.574667,15319666,17110257242,2018-1-2 11:30
300,4084.677,4078.283,4080.417,4084.459,4081.423767,14462792,16736308724,2018-1-2 13:30
300,4087.569,4074.647,4084.459,4074.729,4081.9046,13674252,16986409774,2018-1-2 14:00
300,4085.574,4070.67,4074.729,4085.346,4077.0524,11945283,15207532059,2018-1-2 14:30
300,4087.777,4081.579,4085.346,4087.747,4085.019367,17111409,22009387487,2018-1-2 15:00
300,4110.961,4088.882,4091.461,4107.103,4100.7941,33538322,42472314421,2018-1-3 10:00
300,4131.802,4105.823,4107.103,4126.631,4121.263,25519727,32102391767,2018-1-3 10:30
300,4140.054,4125.298,4126.631,4135.668,4134.0044,18909657,24948301735,2018-1-3 11:00
300,4138.519,4127.578,4135.668,4138.367,4132.832233,14488997,19234385514,2018-1-3 11:30
300,4139.876,4124.927,4138.367,4128.361,4131.086867,13848871,19283072332,2018-1-3 13:30
300,4128.369,4104.542,4128.361,4113.085,4115.646467,13953721,23699864240,2018-1-3 14:00
300,4126.263,4112.468,4113.085,4122.553,4119.555233,11597344,16162728452,2018-1-3 14:30
300,4122.553,4104.476,4122.553,4112.197,4110.8719,19953918,27776325616,2018-1-3 15:00
300,4120.112,4105.948,4114.121,4116.405,4113.7701,28674427,37169891802,2018-1-4 10:00
300,4122.582,4110.791,4116.405,4121.308,4116.860333,17589993,23820772791,2018-1-4 10:30
300,4126.055,4118.092,4121.308,4125.889,4121.510833,11801570,15735566948,2018-1-4 11:00
300,4131.849,4123.641,4125.889,4130.541,4127.819233,10574696,15161682038,2018-1-4 11:30
300,4135.443,4125.22,4130.541,4124.7,4131.265467,13517920,17217205720,2018-1-4 13:30
300,4137.642,4124.383,4124.7,4127.167,4132.164933,15897638,20344993616,2018-1-4 14:00
300,4127.423,4116.589,4127.167,4123.089,4121.905533,16729945,19938838403,2018-1-4 14:30
300,4129.152,4115.258,4123.089,4129.412,4122.890567,19740900,25111824772,2018-1-4 15:00
300,4143.451,4123.368,4133.344,4138.063,4134.6963,27908677,35860485863,2018-1-5 10:00
300,4138.797,4125.052,4138.063,4134.357,4130.928167,21586495,26388140936,2018-1-5 10:30
300,4138.952,4127.865,4134.357,4136.911,4132.645167,15827332,20351302382,2018-1-5 11:00
300,4138.74,4130.925,4136.911,4138.992,4134.183,13719313,16018396806,2018-1-5 11:30
300,4148.634,4138.824,4138.992,4145.557,4143.542,18142428,22191270615,2018-1-5 13:30
300,4145.594,4133.627,4145.557,4135.955,4139.6625,13902895,18005402428,2018-1-5 14:00
300,4146.499,4135.761,4135.955,4144.906,4142.0727,12744382,16794421618,2018-1-5 14:30
300,4151.089,4135.589,4144.906,4139.141,4142.6104,25118193,29524763362,2018-1-5 15:00
300,4145.23,4127.412,4140.855,4136.124,4137.150067,37598702,50242563932,2018-1-8 10:00
300,4147.344,4130.52,4136.124,4146.67,4139.380633,24908386,33564787416,2018-1-8 10:30
300,4159.192,4142.212,4146.67,4155.958,4149.515433,19885036,26298204262,2018-1-8 11:00
300,4166.214,4155.893,4155.958,4159.107,4160.703567,20305308,26797151249,2018-1-8 11:30
300,4164.374,4155.26,4159.107,4158.106,4159.512333,17945186,22706981755,2018-1-8 13:30
300,4166.036,4151.259,4158.106,4152.266,4158.664367,18316431,22621513449,2018-1-8 14:00
300,4156.671,4150.755,4152.266,4151.45,4153.149733,15358645,19272162396,2018-1-8 14:30
300,4160.572,4146.679,4151.45,4160.461,4152.254867,19519115,24849542698,2018-1-8 15:00
300,4174.368,4153.703,4157.539,4171.014,4163.652267,27502017,37563576878,2018-1-9 10:00
