code,high,low,open,close,avg,vol,amount,time
300,4064.337,4047.876,4045.209,4055.968,4058.762933,17947307,22423483904,2018/1/2 09:45
300,4075.293,4055.968,4055.968,4071.259,4068.256933,17509133,20266046247,2018/1/2 10:00
300,4071.259,4058.578,4071.259,4061.883,4062.581133,12564915,15352629512,2018/1/2 10:15
300,4077.278,4061.783,4061.883,4076.861,4070.374333,9774778,12289443850,2018/1/2 10:30
300,4078.689,4072.709,4076.861,4078.021,4075.985133,9121964,11262586140,2018/1/2 10:45
300,4082.69,4075.974,4078.021,4077.442,4078.9918,7451252,8705157041,2018/1/2 11:00
300,4083.12,4074.782,4077.442,4082.771,4078.340067,7979036,8711022346,2018/1/2 11:15
300,4084.431,4079.98,4082.771,4080.417,4082.809267,7340630,8399234896,2018/1/2 11:30
300,4082.224,4078.283,4080.417,4080.083,4080.129133,7837034,8487564097,2018/1/2 13:15
300,4084.677,4079.466,4080.083,4084.459,4082.7184,6625758,8248744627,2018/1/2 13:30
300,4087.569,4083.563,4084.459,4083.54,4085.142467,7019237,8678917114,2018/1/2 13:45
300,4083.649,4074.647,4083.54,4074.729,4078.666733,6655015,8307492660,2018/1/2 14:00
300,4076.184,4071.242,4074.729,4071.501,4074.334667,6141823,7802961822,2018/1/2 14:15
300,4085.574,4070.67,4071.501,4085.346,4079.770133,5803460,7404570237,2018/1/2 14:30
300,4085.682,4081.579,4085.346,4085.077,4083.8314,7063073,9082656054,2018/1/2 14:45
300,4087.777,4084.333,4085.077,4087.747,4086.207333,10048336,12926731433,2018/1/2 15:00
300,4099.506,4088.882,4091.461,4097.921,4095.004,17721015,22361379149,2018/1/3 09:45
300,4110.961,4097.921,4097.921,4107.103,4106.5842,15817307,20110935272,2018/1/3 10:00
300,4122.227,4105.823,4107.103,4121.24,4115.2252,13760663,17209025927,2018/1/3 10:15
300,4131.802,4121.049,4121.24,4126.631,4127.3008,11759064,14893365840,2018/1/3 10:30
300,4140.054,4125.298,4126.631,4139.811,4133.716733,10349070,13596888175,2018/1/3 10:45
300,4139.811,4131.943,4139.811,4135.668,4134.292067,8560587,11351413560,2018/1/3 11:00
300,4135.668,4127.578,4135.668,4129.886,4131.3292,7088062,9932555543,2018/1/3 11:15
300,4138.519,4129.065,4129.886,4138.367,4134.335267,7400935,9301829971,2018/1/3 11:30
300,4139.876,4131.744,4138.367,4131.738,4134.432867,7156156,9977761427,2018/1/3 13:15
300,4132.493,4124.927,4131.738,4128.361,4127.740867,6692715,9305310905,2018/1/3 13:30
300,4128.369,4109.622,4128.361,4109.459,4120.315867,7218646,12477428849,2018/1/3 13:45
300,4114.87,4104.542,4109.459,4113.085,4110.977067,6735075,11222435391,2018/1/3 14:00
300,4118.72,4112.468,4113.085,4118.479,4115.847467,5217086,7488875962,2018/1/3 14:15
300,4126.263,4118.313,4118.479,4122.553,4123.263,6380258,8673852490,2018/1/3 14:30
300,4122.553,4105.724,4122.553,4105.595,4114.292067,8869014,12820050130,2018/1/3 14:45
300,4111.695,4104.476,4105.595,4112.197,4107.451733,11084904,14956275486,2018/1/3 15:00
300,4116.088,4105.948,4114.121,4109.699,4110.6798,17501299,21778088420,2018/1/4 09:45
300,4120.112,4109.689,4109.699,4116.405,4116.8604,11173128,15391803382,2018/1/4 10:00
300,4118.327,4110.791,4116.405,4117.775,4114.8454,9994419,13619593754,2018/1/4 10:15
300,4122.582,4116.662,4117.775,4121.308,4118.875267,7595574,10201179037,2018/1/4 10:30
300,4121.609,4118.092,4121.308,4120.391,4120.1628,6314390,8359593916,2018/1/4 10:45
300,4126.055,4120.058,4120.391,4125.889,4122.858867,5487180,7375973032,2018/1/4 11:00
300,4129.078,4123.641,4125.889,4126.651,4125.8634,5431450,7738310041,2018/1/4 11:15
300,4131.849,4126.651,4126.651,4130.541,4129.775067,5143246,7423371997,2018/1/4 11:30
300,4133.491,4130.252,4130.541,4133.017,4131.483933,6321778,7788134165,2018/1/4 13:15
300,4135.443,4125.22,4133.017,4124.7,4131.047,7196142,9429071555,2018/1/4 13:30
300,4134.06,4124.383,4124.7,4132.99,4130.8894,6544292,8510701451,2018/1/4 13:45
300,4137.642,4127.258,4132.99,4127.167,4133.440467,9353346,11834292165,2018/1/4 14:00
300,4127.423,4116.87,4127.167,4117.123,4121.492133,9782716,11390734781,2018/1/4 14:15
300,4124.342,4116.589,4117.123,4123.089,4122.318933,6947229,8548103622,2018/1/4 14:30
300,4123.914,4115.258,4123.089,4121.875,4120.5732,7621147,9810582497,2018/1/4 14:45
300,4129.152,4121.763,4121.875,4129.412,4125.207933,12119753,15301242275,2018/1/4 15:00
300,4136.635,4123.368,4133.344,4136.506,4130.575067,14931335,19082657278,2018/1/5 09:45
300,4143.451,4135.155,4136.506,4138.063,4138.817533,12977342,16777828585,2018/1/5 10:00
300,4138.797,4125.221,4138.063,4125.384,4130.3278,11199612,14165608632,2018/1/5 10:15
300,4136.982,4125.052,4125.384,4134.357,4131.528533,10386883,12222532304,2018/1/5 10:30
300,4136.103,4128.587,4134.357,4130.989,4131.716133,8152519,10582054593,2018/1/5 10:45
300,4138.952,4127.865,4130.989,4136.911,4133.5742,7674813,9769247789,2018/1/5 11:00
300,4137.848,4130.946,4136.911,4131.309,4133.8316,7017136,8013842686,2018/1/5 11:15
300,4138.74,4130.925,4131.309,4138.992,4134.5344,6702177,8004554120,2018/1/5 11:30
300,4148.632,4138.824,4138.992,4148.293,4142.071333,10403536,12183480142,2018/1/5 13:15
300,4148.634,4143.402,4148.293,4145.557,4145.012667,7738892,10007790473,2018/1/5 13:30
300,4145.594,4142.048,4145.557,4142.451,4143.393,7430118,9302780359,2018/1/5 13:45
300,4142.904,4133.627,4142.451,4135.955,4135.932,6472777,8702622069,2018/1/5 14:00
300,4143.103,4135.761,4135.955,4142.248,4139.490067,5251690,7015551585,2018/1/5 14:15
300,4146.499,4142.075,4142.248,4144.906,4144.655333,7492692,9778870033,2018/1/5 14:30
300,4151.089,4141.165,4144.906,4141.58,4146.474667,11328798,13361889311,2018/1/5 14:45
300,4142.011,4135.589,4141.58,4139.141,4138.746133,13789395,16162874051,2018/1/5 15:00
300,4145.23,4138.1,4140.855,4139.76,4141.2728,23224509,30887288194,2018/1/8 09:45
