ProfitRate,Time
1.0,2022-01-04 09:45:00
1.0,2022-01-04 10:00:00
1.008015955275221,2022-01-04 10:15:00
1.010392185499129,2022-01-04 10:30:00
1.0120763104769737,2022-01-04 10:45:00
1.008401485665239,2022-01-04 11:00:00
1.009948669530771,2022-01-04 11:15:00
1.009948669530771,2022-01-04 11:30:00
1.0109888391548194,2022-01-04 13:15:00
1.0113213635416785,2022-01-04 13:30:00
1.013128136337627,2022-01-04 13:45:00
1.013014481098288,2022-01-04 14:00:00
1.0117766837474589,2022-01-04 14:15:00
1.0117421883950415,2022-01-04 14:30:00
1.0117421883950415,2022-01-04 14:45:00
1.0117421883950415,2022-01-04 15:00:00
1.0065167793026442,2022-01-05 09:45:00
1.0065167793026442,2022-01-05 10:00:00
1.0084037137508692,2022-01-05 10:15:00
1.0081201697663214,2022-01-05 10:30:00
1.0076001419739113,2022-01-05 10:45:00
1.01069296380251,2022-01-05 11:00:00
1.01069296380251,2022-01-05 11:15:00
1.01069296380251,2022-01-05 11:30:00
1.01069296380251,2022-01-05 13:15:00
1.0124159638856893,2022-01-05 13:30:00
1.0131089826114636,2022-01-05 13:45:00
1.0131089826114636,2022-01-05 14:00:00
1.013902383619268,2022-01-05 14:15:00
1.013902383619268,2022-01-05 14:30:00
1.011707769246587,2022-01-05 14:45:00
1.0117246072520918,2022-01-05 15:00:00
1.0146373716827597,2022-01-06 09:45:00
1.012407428545467,2022-01-06 10:00:00
1.0209761665512889,2022-01-06 10:15:00
1.0298304217040035,2022-01-06 10:30:00
1.0291980201681739,2022-01-06 10:45:00
1.0275574203688511,2022-01-06 11:00:00
1.0264749068341736,2022-01-06 11:15:00
1.0264749068341736,2022-01-06 11:30:00
1.026099763538316,2022-01-06 13:15:00
1.026069923405123,2022-01-06 13:30:00
1.0260490566322396,2022-01-06 13:45:00
1.0257424123761205,2022-01-06 14:00:00
1.0257424123761205,2022-01-06 14:15:00
1.0257424123761205,2022-01-06 14:30:00
1.0257424123761205,2022-01-06 14:45:00
1.0257424123761205,2022-01-06 15:00:00
1.0273394667507016,2022-01-07 09:45:00
1.028752037656132,2022-01-07 10:00:00
1.024779800325283,2022-01-07 10:15:00
1.0251953243401275,2022-01-07 10:30:00
1.0237756757099064,2022-01-07 10:45:00
1.0241892654612588,2022-01-07 11:00:00
1.0234856051885004,2022-01-07 11:15:00
1.0244911039229891,2022-01-07 11:30:00
1.0257227056791582,2022-01-07 13:15:00
1.0272438573809382,2022-01-07 13:30:00
1.0263371889271207,2022-01-07 13:45:00
1.0265584337744242,2022-01-07 14:00:00
1.0260600353103206,2022-01-07 14:15:00
1.025727766299726,2022-01-07 14:30:00
1.0262164798442182,2022-01-07 14:45:00
1.0264042914526088,2022-01-07 15:00:00
1.0258692996148842,2022-01-10 09:45:00
1.0258692996148842,2022-01-10 10:00:00
1.0323289714703971,2022-01-10 10:15:00
1.0323289714703971,2022-01-10 10:30:00
1.0323289714703971,2022-01-10 10:45:00
1.0322888954940241,2022-01-10 11:00:00
1.0324153623541112,2022-01-10 11:15:00
1.032196592841995,2022-01-10 11:30:00
1.0321806647098553,2022-01-10 13:15:00
1.0314892905742385,2022-01-10 13:30:00
1.0314892905742385,2022-01-10 13:45:00
1.0312774535763862,2022-01-10 14:00:00
1.0315565020299795,2022-01-10 14:15:00
1.0312303015777065,2022-01-10 14:30:00
1.0312804994198195,2022-01-10 14:45:00
1.03129190007212,2022-01-10 15:00:00
1.0292220428942775,2022-01-11 09:45:00
1.0274663480196204,2022-01-11 10:00:00
1.0274663480196204,2022-01-11 10:15:00
1.0274663480196204,2022-01-11 10:30:00
1.028861299221649,2022-01-11 10:45:00
1.0289808132071434,2022-01-11 11:00:00
1.028904943485287,2022-01-11 11:15:00
1.0285981628743972,2022-01-11 11:30:00
1.027931264823092,2022-01-11 13:15:00
1.0297525579057625,2022-01-11 13:30:00
1.0298551328910432,2022-01-11 13:45:00
1.030266425667142,2022-01-11 14:00:00
1.0293226562853117,2022-01-11 14:15:00
1.0299941684842158,2022-01-11 14:30:00
1.0299941684842158,2022-01-11 14:45:00
1.0299941684842158,2022-01-11 15:00:00
1.0311727372065005,2022-01-12 09:45:00
1.0310295635458027,2022-01-12 10:00:00
1.0295883000019725,2022-01-12 10:15:00
1.0301067032147675,2022-01-12 10:30:00
1.0294286901710359,2022-01-12 10:45:00
1.0279775984845116,2022-01-12 11:00:00
1.0280698322052084,2022-01-12 11:15:00
1.0261127266264818,2022-01-12 11:30:00
1.0250363174333559,2022-01-12 13:15:00
1.0240593125080961,2022-01-12 13:30:00
1.0246770581851568,2022-01-12 13:45:00
1.0246770581851568,2022-01-12 14:00:00
1.025183205240659,2022-01-12 14:15:00
1.024967893940559,2022-01-12 14:30:00
1.0250323456416695,2022-01-12 14:45:00
1.0251487022568087,2022-01-12 15:00:00
1.0251487022568087,2022-01-13 09:45:00
1.025807813059467,2022-01-13 10:00:00
1.0211360403779315,2022-01-13 10:15:00
1.014663817268723,2022-01-13 10:30:00
1.0148101253127841,2022-01-13 10:45:00
1.0150244801647255,2022-01-13 11:00:00
1.0141649017864915,2022-01-13 11:15:00
1.0131020936589719,2022-01-13 11:30:00
1.0131020936589719,2022-01-13 13:15:00
1.0149833783638174,2022-01-13 13:30:00
1.0161687105947672,2022-01-13 13:45:00
1.0166795639851272,2022-01-13 14:00:00
1.0165311952000295,2022-01-13 14:15:00
1.0177217207890465,2022-01-13 14:30:00
1.017425958451584,2022-01-13 14:45:00
1.018390121551589,2022-01-13 15:00:00
